ProductID,ProductName,CategoryName,SupplierName,QuantityPerUnit,UnitPrice,UnitsInStock,Brand,Description,Features,UseCases,TargetUsers,Tags,Rating,ReviewCount,SalesVolume,BusinessWeight,InstallDifficulty,AfterSalesPolicy,Compatibility
1,小米租房智能门锁 Plus,智能门锁,小米生态链旗舰店,1 台,1499,123,小米,"小米租房智能门锁 Plus 面向有老人家庭,租房人群，适合出租屋,新房装修,老人看护场景，可作为智能门锁类目的主推商品。",临时密码；防撬报警；指纹解锁；低电量提醒,出租屋；新房装修；老人看护,有老人家庭；租房人群,Plus；临时密码；低电量提醒；出租屋；指纹解锁；新房装修；智能门锁；有老人家庭；租房人群；老人看护；防撬报警,4.8,3236,26715,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,天猫精灵；Aqara Home；Matter
2,小米人脸识别门锁 Plus,智能门锁,小米授权专卖店,1 台,1899,205,小米,"小米人脸识别门锁 Plus 面向有老人家庭,租房人群，适合家庭安防,出租屋,老人看护场景，可作为智能门锁类目的主推商品。",门未关提醒；指纹解锁；远程开门记录；低电量提醒,家庭安防；出租屋；老人看护,有老人家庭；租房人群,Plus；低电量提醒；出租屋；家庭安防；指纹解锁；智能门锁；有老人家庭；租房人群；老人看护；远程开门记录；门未关提醒,4.9,1061,11898,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Aqara Home；涂鸦智能
3,小米电子猫眼门锁 Lite,智能门锁,小米智能生活专营店,1 台,649,125,小米,"小米电子猫眼门锁 Lite 面向有老人家庭,租房人群，适合老人看护,新房装修,家庭安防场景，可作为智能门锁类目的主推商品。",远程开门记录；低电量提醒；临时密码；门未关提醒,老人看护；新房装修；家庭安防,有老人家庭；租房人群,Lite；临时密码；低电量提醒；家庭安防；新房装修；智能门锁；有老人家庭；租房人群；老人看护；远程开门记录；门未关提醒,4.5,4223,20426,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,涂鸦智能；Apple HomeKit；华为鸿蒙智联；米家
4,华为智选电子猫眼门锁 Max,智能门锁,华为智选智能生活专营店,1 台,2999,127,华为智选,"华为智选电子猫眼门锁 Max 面向租房人群,有老人家庭，适合家庭安防,出租屋,老人看护场景，可作为智能门锁类目的主推商品。",门未关提醒；指纹解锁；临时密码；远程开门记录,家庭安防；出租屋；老人看护,租房人群；有老人家庭,Max；临时密码；出租屋；家庭安防；指纹解锁；智能门锁；有老人家庭；租房人群；老人看护；远程开门记录；门未关提醒,4.6,2710,25531,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Aqara Home；米家；Apple HomeKit；华为鸿蒙智联
5,华为智选指纹门锁 Plus,智能门锁,华为智选官方旗舰店,1 台,1899,172,华为智选,"华为智选指纹门锁 Plus 面向独居青年,租房人群，适合家庭安防,出租屋,老人看护场景，可作为智能门锁类目的主推商品。",门未关提醒；低电量提醒；防撬报警；临时密码,家庭安防；出租屋；老人看护,独居青年；租房人群,Plus；临时密码；低电量提醒；出租屋；家庭安防；智能门锁；独居青年；租房人群；老人看护；门未关提醒；防撬报警,4.3,866,23638,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,天猫精灵；Apple HomeKit；华为鸿蒙智联；米家
6,华为智选入户安全门锁 Lite,智能门锁,华为智选智能生活专营店,1 台,749,253,华为智选,"华为智选入户安全门锁 Lite 面向有老人家庭,独居青年，适合出租屋,新房装修,老人看护场景，可作为智能门锁类目的主推商品。",低电量提醒；门未关提醒；临时密码；远程开门记录,出租屋；新房装修；老人看护,有老人家庭；独居青年,Lite；临时密码；低电量提醒；出租屋；新房装修；智能门锁；有老人家庭；独居青年；老人看护；远程开门记录；门未关提醒,4.8,2381,23474,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Aqara Home；米家；华为鸿蒙智联；天猫精灵
7,鹿客掌静脉门锁 Lite,智能门锁,鹿客智能生活专营店,1 台,799,81,鹿客,"鹿客掌静脉门锁 Lite 面向独居青年,租房人群，适合家庭安防,出租屋,老人看护场景，可作为智能门锁类目的主推商品。",防撬报警；指纹解锁；远程开门记录；门未关提醒,家庭安防；出租屋；老人看护,独居青年；租房人群,Lite；出租屋；家庭安防；指纹解锁；智能门锁；独居青年；租房人群；老人看护；远程开门记录；门未关提醒；防撬报警,4.9,882,4319,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Matter；Apple HomeKit；Aqara Home；米家
8,鹿客电子猫眼门锁 Lite,智能门锁,鹿客授权专卖店,1 台,749,139,鹿客,"鹿客电子猫眼门锁 Lite 面向独居青年,有老人家庭，适合新房装修,出租屋,家庭安防场景，可作为智能门锁类目的主推商品。",门未关提醒；临时密码；防撬报警；远程开门记录,新房装修；出租屋；家庭安防,独居青年；有老人家庭,Lite；临时密码；出租屋；家庭安防；新房装修；智能门锁；有老人家庭；独居青年；远程开门记录；门未关提醒；防撬报警,4.5,2700,17499,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,涂鸦智能；米家；小度；Apple HomeKit
9,鹿客入户安全门锁 Plus,智能门锁,鹿客官方旗舰店,1 台,1299,56,鹿客,"鹿客入户安全门锁 Plus 面向家庭用户,有老人家庭，适合老人看护,新房装修,家庭安防场景，可作为智能门锁类目的主推商品。",远程开门记录；防撬报警；门未关提醒；指纹解锁,老人看护；新房装修；家庭安防,家庭用户；有老人家庭,Plus；家庭安防；家庭用户；指纹解锁；新房装修；智能门锁；有老人家庭；老人看护；远程开门记录；门未关提醒；防撬报警,4.8,3928,19229,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Matter；天猫精灵
10,德施曼入户安全门锁 Pro,智能门锁,德施曼授权专卖店,1 台,2499,123,德施曼,"德施曼入户安全门锁 Pro 面向独居青年,有老人家庭，适合老人看护,新房装修,出租屋场景，可作为智能门锁类目的主推商品。",低电量提醒；防撬报警；门未关提醒；临时密码,老人看护；新房装修；出租屋,独居青年；有老人家庭,Pro；临时密码；低电量提醒；出租屋；新房装修；智能门锁；有老人家庭；独居青年；老人看护；门未关提醒；防撬报警,4.7,818,28369,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Aqara Home；小度
11,德施曼人脸识别门锁 Pro,智能门锁,德施曼授权专卖店,1 台,2199,62,德施曼,"德施曼人脸识别门锁 Pro 面向租房人群,独居青年，适合老人看护,新房装修,家庭安防场景，可作为智能门锁类目的主推商品。",门未关提醒；低电量提醒；防撬报警；指纹解锁,老人看护；新房装修；家庭安防,租房人群；独居青年,Pro；低电量提醒；家庭安防；指纹解锁；新房装修；智能门锁；独居青年；租房人群；老人看护；门未关提醒；防撬报警,4.3,1289,3419,0.937,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Matter；天猫精灵；涂鸦智能
12,德施曼掌静脉门锁 Lite,智能门锁,德施曼官方旗舰店,1 台,699,63,德施曼,"德施曼掌静脉门锁 Lite 面向独居青年,租房人群，适合新房装修,老人看护,家庭安防场景，可作为智能门锁类目的主推商品。",低电量提醒；指纹解锁；防撬报警；远程开门记录,新房装修；老人看护；家庭安防,独居青年；租房人群,Lite；低电量提醒；家庭安防；指纹解锁；新房装修；智能门锁；独居青年；租房人群；老人看护；远程开门记录；防撬报警,4.8,4081,2949,0.979,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Aqara Home；天猫精灵；小度；Apple HomeKit
13,凯迪仕指纹门锁 Lite,智能门锁,凯迪仕官方旗舰店,1 台,949,23,凯迪仕,"凯迪仕指纹门锁 Lite 面向独居青年,有老人家庭，适合出租屋,老人看护,新房装修场景，可作为智能门锁类目的主推商品。",低电量提醒；临时密码；指纹解锁；远程开门记录,出租屋；老人看护；新房装修,独居青年；有老人家庭,Lite；临时密码；低电量提醒；出租屋；指纹解锁；新房装修；智能门锁；有老人家庭；独居青年；老人看护；远程开门记录,4.7,2210,25721,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,天猫精灵；涂鸦智能；Matter；米家
14,凯迪仕租房智能门锁 Plus,智能门锁,凯迪仕官方旗舰店,1 台,1349,254,凯迪仕,"凯迪仕租房智能门锁 Plus 面向有老人家庭,独居青年，适合家庭安防,出租屋,老人看护场景，可作为智能门锁类目的主推商品。",远程开门记录；防撬报警；指纹解锁；低电量提醒,家庭安防；出租屋；老人看护,有老人家庭；独居青年,Plus；低电量提醒；出租屋；家庭安防；指纹解锁；智能门锁；有老人家庭；独居青年；老人看护；远程开门记录；防撬报警,4.6,961,13681,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,Matter；米家；涂鸦智能
15,凯迪仕人脸识别门锁 Plus,智能门锁,凯迪仕官方旗舰店,1 台,1699,66,凯迪仕,"凯迪仕人脸识别门锁 Plus 面向家庭用户,有老人家庭，适合出租屋,老人看护,家庭安防场景，可作为智能门锁类目的主推商品。",低电量提醒；指纹解锁；临时密码；门未关提醒,出租屋；老人看护；家庭安防,家庭用户；有老人家庭,Plus；临时密码；低电量提醒；出租屋；家庭安防；家庭用户；指纹解锁；智能门锁；有老人家庭；老人看护；门未关提醒,4.8,1455,26840,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,涂鸦智能；米家；Apple HomeKit；华为鸿蒙智联
16,Aqara人脸识别门锁 Lite,智能门锁,Aqara授权专卖店,1 台,1199,163,Aqara,"Aqara人脸识别门锁 Lite 面向独居青年,租房人群，适合新房装修,出租屋,老人看护场景，可作为智能门锁类目的主推商品。",远程开门记录；低电量提醒；防撬报警；门未关提醒,新房装修；出租屋；老人看护,独居青年；租房人群,Lite；低电量提醒；出租屋；新房装修；智能门锁；独居青年；租房人群；老人看护；远程开门记录；门未关提醒；防撬报警,4.8,857,28700,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,米家；Apple HomeKit；Matter
17,Aqara电子猫眼门锁 Lite,智能门锁,Aqara生态链旗舰店,1 台,999,221,Aqara,"Aqara电子猫眼门锁 Lite 面向独居青年,家庭用户，适合新房装修,家庭安防,出租屋场景，可作为智能门锁类目的主推商品。",远程开门记录；低电量提醒；防撬报警；门未关提醒,新房装修；家庭安防；出租屋,独居青年；家庭用户,Lite；低电量提醒；出租屋；家庭安防；家庭用户；新房装修；智能门锁；独居青年；远程开门记录；门未关提醒；防撬报警,4.3,1531,23691,0.98,需要预约安装,整机一年质保，核心部件三年质保，支持上门安装,米家；涂鸦智能；天猫精灵；小度
