SourceProductID,TargetProductID,Relation,Weight,Scenario,Reason
1,24,COMPLEMENTS,0.683,家庭安防,华为智选门口猫眼摄像头 Plus 与 小米租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
1,28,COMPLEMENTS,0.858,家庭安防,360宝宝看护摄像头 Pro 与 小米租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
1,38,COMPLEMENTS,0.744,家庭安防,Aqara烟雾报警器 Plus 与 小米租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
1,45,COMPLEMENTS,0.739,家庭安防,绿米烟雾报警器 Max 与 小米租房智能门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
1,293,REQUIRES_HUB,0.768,全屋智能,米家多模网关 Plus 可以作为 小米租房智能门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
1,294,REQUIRES_HUB,0.787,全屋智能,米家Matter 网关 Pro 可以作为 小米租房智能门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
2,24,COMPLEMENTS,0.762,家庭安防,华为智选门口猫眼摄像头 Plus 与 小米人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
2,28,COMPLEMENTS,0.782,家庭安防,360宝宝看护摄像头 Pro 与 小米人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
2,38,COMPLEMENTS,0.747,家庭安防,Aqara烟雾报警器 Plus 与 小米人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
2,45,COMPLEMENTS,0.69,家庭安防,绿米烟雾报警器 Max 与 小米人脸识别门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
2,293,REQUIRES_HUB,0.885,全屋智能,米家多模网关 Plus 可以作为 小米人脸识别门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
2,294,REQUIRES_HUB,0.737,全屋智能,米家Matter 网关 Pro 可以作为 小米人脸识别门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
3,24,COMPLEMENTS,0.732,家庭安防,华为智选门口猫眼摄像头 Plus 与 小米电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
3,28,COMPLEMENTS,0.898,家庭安防,360宝宝看护摄像头 Pro 与 小米电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
3,38,COMPLEMENTS,0.917,家庭安防,Aqara烟雾报警器 Plus 与 小米电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
3,45,COMPLEMENTS,0.909,家庭安防,绿米烟雾报警器 Max 与 小米电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
3,293,REQUIRES_HUB,0.85,全屋智能,米家多模网关 Plus 可以作为 小米电子猫眼门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
3,294,REQUIRES_HUB,0.851,全屋智能,米家Matter 网关 Pro 可以作为 小米电子猫眼门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
4,24,COMPLEMENTS,0.811,家庭安防,华为智选门口猫眼摄像头 Plus 与 华为智选电子猫眼门锁 Max 在家庭安防场景中互补，适合作为搭配推荐。
4,28,COMPLEMENTS,0.862,家庭安防,360宝宝看护摄像头 Pro 与 华为智选电子猫眼门锁 Max 在家庭安防场景中互补，适合作为搭配推荐。
4,38,COMPLEMENTS,0.911,家庭安防,Aqara烟雾报警器 Plus 与 华为智选电子猫眼门锁 Max 在家庭安防场景中互补，适合作为搭配推荐。
4,45,COMPLEMENTS,0.88,家庭安防,绿米烟雾报警器 Max 与 华为智选电子猫眼门锁 Max 在家庭安防场景中互补，适合作为搭配推荐。
4,293,REQUIRES_HUB,0.86,全屋智能,米家多模网关 Plus 可以作为 华为智选电子猫眼门锁 Max 的连接中枢，提升全屋智能联动稳定性。
4,294,REQUIRES_HUB,0.831,全屋智能,米家Matter 网关 Pro 可以作为 华为智选电子猫眼门锁 Max 的连接中枢，提升全屋智能联动稳定性。
5,24,COMPLEMENTS,0.891,家庭安防,华为智选门口猫眼摄像头 Plus 与 华为智选指纹门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
5,28,COMPLEMENTS,0.909,家庭安防,360宝宝看护摄像头 Pro 与 华为智选指纹门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
5,38,COMPLEMENTS,0.691,家庭安防,Aqara烟雾报警器 Plus 与 华为智选指纹门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
5,45,COMPLEMENTS,0.798,家庭安防,绿米烟雾报警器 Max 与 华为智选指纹门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
5,293,REQUIRES_HUB,0.82,全屋智能,米家多模网关 Plus 可以作为 华为智选指纹门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
5,294,REQUIRES_HUB,0.748,全屋智能,米家Matter 网关 Pro 可以作为 华为智选指纹门锁 Plus 的连接中枢，提升全屋智能联动稳定性。
6,24,COMPLEMENTS,0.8,家庭安防,华为智选门口猫眼摄像头 Plus 与 华为智选入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
6,28,COMPLEMENTS,0.724,家庭安防,360宝宝看护摄像头 Pro 与 华为智选入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
6,38,COMPLEMENTS,0.819,家庭安防,Aqara烟雾报警器 Plus 与 华为智选入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
6,45,COMPLEMENTS,0.773,家庭安防,绿米烟雾报警器 Max 与 华为智选入户安全门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
6,293,REQUIRES_HUB,0.861,全屋智能,米家多模网关 Plus 可以作为 华为智选入户安全门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
6,294,REQUIRES_HUB,0.888,全屋智能,米家Matter 网关 Pro 可以作为 华为智选入户安全门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
7,24,COMPLEMENTS,0.919,家庭安防,华为智选门口猫眼摄像头 Plus 与 鹿客掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
7,28,COMPLEMENTS,0.802,家庭安防,360宝宝看护摄像头 Pro 与 鹿客掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
7,38,COMPLEMENTS,0.82,家庭安防,Aqara烟雾报警器 Plus 与 鹿客掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
7,45,COMPLEMENTS,0.819,家庭安防,绿米烟雾报警器 Max 与 鹿客掌静脉门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
7,293,REQUIRES_HUB,0.907,全屋智能,米家多模网关 Plus 可以作为 鹿客掌静脉门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
7,294,REQUIRES_HUB,0.911,全屋智能,米家Matter 网关 Pro 可以作为 鹿客掌静脉门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
8,24,COMPLEMENTS,0.748,家庭安防,华为智选门口猫眼摄像头 Plus 与 鹿客电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
8,28,COMPLEMENTS,0.762,家庭安防,360宝宝看护摄像头 Pro 与 鹿客电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
8,38,COMPLEMENTS,0.714,家庭安防,Aqara烟雾报警器 Plus 与 鹿客电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
8,45,COMPLEMENTS,0.873,家庭安防,绿米烟雾报警器 Max 与 鹿客电子猫眼门锁 Lite 在家庭安防场景中互补，适合作为搭配推荐。
8,293,REQUIRES_HUB,0.85,全屋智能,米家多模网关 Plus 可以作为 鹿客电子猫眼门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
8,294,REQUIRES_HUB,0.77,全屋智能,米家Matter 网关 Pro 可以作为 鹿客电子猫眼门锁 Lite 的连接中枢，提升全屋智能联动稳定性。
9,24,COMPLEMENTS,0.903,家庭安防,华为智选门口猫眼摄像头 Plus 与 鹿客入户安全门锁 Plus 在家庭安防场景中互补，适合作为搭配推荐。
